collection_id,time,type,scheduling_class,priority,collection_type
386927323851,1718992660094,6,2,25,0
386951039009,1719401668573,1,2,115,0
386951039009,1719416119303,2,2,115,0
386951039009,1719423302586,3,2,115,0
386951039009,1721980270276,6,2,115,0
387221979298,1723203971342,1,2,115,0
387221979298,1724132675932,2,2,115,0
387221979298,1724135855002,3,2,115,0
387221979298,1724225372547,6,2,115,0
388381985985,1729799898675,0,2,25,0
388381985985,1729799898681,2,2,25,0
388381985985,1729799979695,3,2,25,0
388381985985,1731461358126,6,2,25,0
388410343374,1730069813727,0,2,117,0
388410343374,1730093622394,2,2,117,0
388410343374,1730137636293,3,2,117,0
388410343374,1730539515382,6,2,117,0
388780301593,1731941776558,1,1,115,0
388780301593,1731976535454,2,1,115,0
388780301593,1731981115758,3,1,115,0
388780301593,1733950932142,6,1,115,0
389857086213,1737024793903,0,2,117,0
389857086213,1737054729290,2,2,117,0
389857086213,1737117793178,3,2,117,0
389857086213,1737762062229,6,2,117,0
390913620881,1743086599447,0,2,115,0
390913620881,1743110628917,2,2,115,0
390913620881,1743114407589,3,2,115,0
390913620881,1759412099762,6,2,115,0
391483137436,1744860610503,0,2,118,0
391483137436,1744860610509,2,2,118,0
391483137436,1744860690429,3,2,118,0
391483137436,1753646206044,6,2,118,0
391810631612,1746085032067,0,2,119,0
391810631612,1746085032072,2,2,119,0
391810631612,1746086129796,3,2,119,0
391810631612,1746209000551,6,2,119,0
391863902378,1746242024926,1,0,105,0
391863902378,1746295547029,2,0,105,0
391863902378,1746301997662,3,0,105,0
391863902378,1746408836024,6,0,105,0
391887014504,1746299353087,1,0,105,0
391887014504,1746356472651,2,0,105,0
391887014504,1746361713584,3,0,105,0
391887014504,1747066251497,6,0,105,0
391912266006,1746464727142,1,2,115,0
391912266006,1746478856406,2,2,115,0
391912266006,1746480924423,3,2,115,0
391912266006,1746716112992,6,2,115,0
391936345785,1747104061402,1,2,115,0
391936345785,1747154003854,2,2,115,0
391936345785,1747162348367,3,2,115,0
391936345785,1747240889045,6,2,115,0
392223449006,1748418890097,1,2,115,0
392223449006,1748443477991,2,2,115,0
392223449006,1748460163632,3,2,115,0
392223449006,1748656189183,6,2,115,0
392385102029,1749541835652,1,0,105,0
392385102029,1749544874839,2,0,105,0
392385102029,1749556390881,3,0,105,0
392385102029,1749651000137,6,0,105,0
392667500191,1751540436508,0,2,117,0
392667500191,1751567416651,2,2,117,0
392667500191,1751630255792,3,2,117,0
392667500191,1753449179758,6,2,117,0
393044167511,1752731096218,1,0,105,0
393044167511,1752789879786,2,0,105,0
393044167511,1752794052179,3,0,105,0
393044167511,1752879056191,6,0,105,0
393175958416,1754245581445,1,2,115,0
393175958416,1754257495347,2,2,115,0
393175958416,1754260978733,3,2,115,0
393175958416,1754720045226,6,2,115,0
393183417674,1758592015936,1,2,115,0
393183417674,1765452912351,2,2,115,0
393183417674,1765461784481,3,2,115,0
393183417674,1765596648398,6,2,115,0
393191029045,1767718768189,0,2,119,0
393191029045,1767718768194,2,2,119,0
393191029045,1767720755469,3,2,119,0
393191029045,1767927562631,6,2,119,0
393193905554,1769438687376,0,2,25,0
